"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"166","S_S03","Strobe","Intermittent","Familiar",4.075,0.77388543241298
"167","S_S03","Strobe","Intermittent","Familiar",4.13,0.723852690542672
"168","S_S03","Strobe","Intermittent","Familiar",4.185,0.680138180923592
"169","S_S03","Strobe","Intermittent","Familiar",4.24,0.639095019384436
"170","S_S03","Strobe","Intermittent","Familiar",4.295,0.610821266847057
"171","S_S03","Strobe","Intermittent","Familiar",4.35,0.589650788335637
"172","S_S03","Strobe","Intermittent","Familiar",4.405,0.563098850281631
"173","S_S03","Strobe","Intermittent","Familiar",4.46,0.542594638045776
"174","S_S03","Strobe","Intermittent","Familiar",4.515,0.522251104522787
"175","S_S03","Strobe","Intermittent","Familiar",4.57,0.501550258013485
"176","S_S03","Strobe","Intermittent","Familiar",4.625,0.477388229732425
"177","S_S03","Strobe","Intermittent","Familiar",4.68,0.454030238192332
"178","S_S03","Strobe","Intermittent","Familiar",4.735,0.424046587864416
"179","S_S03","Strobe","Intermittent","Familiar",4.79,0.379739934106626
"180","S_S03","Strobe","Intermittent","Familiar",4.845,0.327043691204338
"181","S_S03","Strobe","Intermittent","Familiar",4.9,0.247874740930414
"182","S_S03","Strobe","Intermittent","Familiar",4.955,0.165567192269815
"183","S_S03","Strobe","Intermittent","Familiar",5.01,0.0883818597450758
"184","S_S03","Strobe","Intermittent","Familiar",5.065,-0.00614558926507655
"185","S_S03","Strobe","Intermittent","Familiar",5.12,-0.113595836940841
"186","S_S03","Strobe","Intermittent","Familiar",5.175,-0.233136301060356
"187","S_S03","Strobe","Intermittent","Familiar",5.23,-0.36196425571156
"188","S_S03","Strobe","Intermittent","Familiar",5.285,-0.50647750040229
"189","S_S03","Strobe","Intermittent","Familiar",5.34,-0.654780745277662
"190","S_S03","Strobe","Intermittent","Familiar",5.395,-0.785334077690108
"191","S_S03","Strobe","Intermittent","Familiar",5.45,-0.918247405876112
"192","S_S03","Strobe","Intermittent","Familiar",5.505,-1.05080431896323
"193","S_S03","Strobe","Intermittent","Familiar",5.56,-1.16150501640619
"194","S_S03","Strobe","Intermittent","Familiar",5.615,-1.2658704928079
"195","S_S03","Strobe","Intermittent","Familiar",5.67,-1.34754887843792
"196","S_S03","Strobe","Intermittent","Familiar",5.725,-1.39201543595969
"197","S_S03","Strobe","Intermittent","Familiar",5.78,-1.41220780655772
"198","S_S03","Strobe","Intermittent","Familiar",5.835,-1.40265021792026
"199","S_S03","Strobe","Intermittent","Familiar",5.89,-1.36594846267825
"200","S_S03","Strobe","Intermittent","Familiar",5.945,-1.32220402591817
"201","S_S05","Strobe","Intermittent","Familiar",0.5,7.50917499802895
"202","S_S05","Strobe","Intermittent","Familiar",0.555,7.52989607575932
"203","S_S05","Strobe","Intermittent","Familiar",0.61,7.49272708589694
"204","S_S05","Strobe","Intermittent","Familiar",0.665,7.43829626919444
"205","S_S05","Strobe","Intermittent","Familiar",0.72,7.36195069993808
"206","S_S05","Strobe","Intermittent","Familiar",0.775,7.26246489358946
"207","S_S05","Strobe","Intermittent","Familiar",0.83,7.16252919820228
"208","S_S05","Strobe","Intermittent","Familiar",0.885,7.06663028120487
"209","S_S05","Strobe","Intermittent","Familiar",0.94,6.98516525236644
"210","S_S05","Strobe","Intermittent","Familiar",0.995,6.9313239184582
"211","S_S05","Strobe","Intermittent","Familiar",1.05,6.87483361410096
"212","S_S05","Strobe","Intermittent","Familiar",1.105,6.81388993663757
"213","S_S05","Strobe","Intermittent","Familiar",1.16,6.76047193021417
"214","S_S05","Strobe","Intermittent","Familiar",1.215,6.69601492889464
"215","S_S05","Strobe","Intermittent","Familiar",1.27,6.62356983560912
"216","S_S05","Strobe","Intermittent","Familiar",1.325,6.52341473959516
"217","S_S05","Strobe","Intermittent","Familiar",1.38,6.41847559526111
"218","S_S05","Strobe","Intermittent","Familiar",1.435,6.32142390413785
"219","S_S05","Strobe","Intermittent","Familiar",1.49,6.20657521411388
"220","S_S05","Strobe","Intermittent","Familiar",1.545,6.10057480217419
"221","S_S05","Strobe","Intermittent","Familiar",1.6,6.00780508965671
"222","S_S05","Strobe","Intermittent","Familiar",1.655,5.91444163983655
"223","S_S05","Strobe","Intermittent","Familiar",1.71,5.79687434678623
"224","S_S05","Strobe","Intermittent","Familiar",1.765,5.65581973455689
"225","S_S05","Strobe","Intermittent","Familiar",1.82,5.53692976800069
"226","S_S05","Strobe","Intermittent","Familiar",1.875,5.40544764800497
"227","S_S05","Strobe","Intermittent","Familiar",1.93,5.25959935905409
"228","S_S05","Strobe","Intermittent","Familiar",1.985,5.10298662944134
"229","S_S05","Strobe","Intermittent","Familiar",2.04,4.93420270483385
"230","S_S05","Strobe","Intermittent","Familiar",2.095,4.75449412007879
"231","S_S05","Strobe","Intermittent","Familiar",2.15,4.55969857401202
