"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"105","L_S136","Lit","NoGoggles","Unfamiliar",0.72,3.84714105617035
"106","L_S136","Lit","NoGoggles","Unfamiliar",0.775,3.6541546712167
"107","L_S136","Lit","NoGoggles","Unfamiliar",0.83,3.44664004166251
"108","L_S136","Lit","NoGoggles","Unfamiliar",0.885,3.24084813965965
"109","L_S136","Lit","NoGoggles","Unfamiliar",0.94,3.02132160574519
"110","L_S136","Lit","NoGoggles","Unfamiliar",0.995,2.78373989532749
"111","L_S136","Lit","NoGoggles","Unfamiliar",1.05,2.55233727975718
"112","L_S136","Lit","NoGoggles","Unfamiliar",1.105,2.32979870394878
"113","L_S136","Lit","NoGoggles","Unfamiliar",1.16,2.11128710070186
"114","L_S136","Lit","NoGoggles","Unfamiliar",1.215,1.88760965912898
"115","L_S136","Lit","NoGoggles","Unfamiliar",1.27,1.67549167882012
"116","L_S136","Lit","NoGoggles","Unfamiliar",1.325,1.47378008320606
"117","L_S136","Lit","NoGoggles","Unfamiliar",1.38,1.2711420120059
"118","L_S136","Lit","NoGoggles","Unfamiliar",1.435,1.08097626951476
"119","L_S136","Lit","NoGoggles","Unfamiliar",1.49,0.906700721823887
"120","L_S136","Lit","NoGoggles","Unfamiliar",1.545,0.726670828919128
"121","L_S136","Lit","NoGoggles","Unfamiliar",1.6,0.558880081180804
"122","L_S136","Lit","NoGoggles","Unfamiliar",1.655,0.419961123925776
"123","L_S136","Lit","NoGoggles","Unfamiliar",1.71,0.292833996985049
"124","L_S136","Lit","NoGoggles","Unfamiliar",1.765,0.177689812082148
"125","L_S136","Lit","NoGoggles","Unfamiliar",1.82,0.0741765666661146
"126","L_S136","Lit","NoGoggles","Unfamiliar",1.875,-0.0173351602003743
"127","L_S136","Lit","NoGoggles","Unfamiliar",1.93,-0.11448812016663
"128","L_S136","Lit","NoGoggles","Unfamiliar",1.985,-0.191947411033816
"129","L_S136","Lit","NoGoggles","Unfamiliar",2.04,-0.249561109524227
"130","L_S136","Lit","NoGoggles","Unfamiliar",2.095,-0.30170136921383
"131","L_S136","Lit","NoGoggles","Unfamiliar",2.15,-0.328585152385123
"132","L_S136","Lit","NoGoggles","Unfamiliar",2.205,-0.321627811339988
"133","L_S136","Lit","NoGoggles","Unfamiliar",2.26,-0.255062774402797
"134","L_S136","Lit","NoGoggles","Unfamiliar",2.315,0.0173087473165596
"135","L_S136","Lit","NoGoggles","Unfamiliar",2.37,1.15638350296096
"136","L_S136","Lit","NoGoggles","Unfamiliar",2.425,4.56714022438832
"137","L_S136","Lit","NoGoggles","Unfamiliar",2.48,5.67821747126389
"138","L_S136","Lit","NoGoggles","Unfamiliar",2.535,4.97161814095883
