"","SubjectNo","DisplayMode","Familiarity","seg.z","headingErr"
"194","D_S07","Intermittent","Familiar",5.615,4.60165387239063
"195","D_S07","Intermittent","Familiar",5.67,4.49758781982457
"196","D_S07","Intermittent","Familiar",5.725,4.42778454233532
"197","D_S07","Intermittent","Familiar",5.78,4.35939292395638
"198","D_S07","Intermittent","Familiar",5.835,4.22624662933248
"199","D_S07","Intermittent","Familiar",5.89,4.02700950348952
"200","D_S07","Intermittent","Familiar",5.945,3.78796593562706
"201","D_S10","Intermittent","Familiar",0.5,7.9739657764148
"202","D_S10","Intermittent","Familiar",0.555,8.02635374468097
"203","D_S10","Intermittent","Familiar",0.61,8.10005216219822
"204","D_S10","Intermittent","Familiar",0.665,8.15702067015305
"205","D_S10","Intermittent","Familiar",0.72,8.16632553665777
"206","D_S10","Intermittent","Familiar",0.775,8.15154395385232
"207","D_S10","Intermittent","Familiar",0.83,8.10084888704345
"208","D_S10","Intermittent","Familiar",0.885,8.02227069463869
"209","D_S10","Intermittent","Familiar",0.94,7.94198252326586
"210","D_S10","Intermittent","Familiar",0.995,7.85848674290749
"211","D_S10","Intermittent","Familiar",1.05,7.7973339837559
"212","D_S10","Intermittent","Familiar",1.105,7.77191923532467
"213","D_S10","Intermittent","Familiar",1.16,7.77956288267784
"214","D_S10","Intermittent","Familiar",1.215,7.82624687425775
"215","D_S10","Intermittent","Familiar",1.27,7.90025434383395
"216","D_S10","Intermittent","Familiar",1.325,8.00108313028057
"217","D_S10","Intermittent","Familiar",1.38,8.12400785811692
"218","D_S10","Intermittent","Familiar",1.435,8.26753425937925
"219","D_S10","Intermittent","Familiar",1.49,8.43381877867422
"220","D_S10","Intermittent","Familiar",1.545,8.6146010752811
"221","D_S10","Intermittent","Familiar",1.6,8.7979485506209
"222","D_S10","Intermittent","Familiar",1.655,8.92420687435516
"223","D_S10","Intermittent","Familiar",1.71,8.96157540405768
"224","D_S10","Intermittent","Familiar",1.765,8.9125787997136
"225","D_S10","Intermittent","Familiar",1.82,8.7770474226539
"226","D_S10","Intermittent","Familiar",1.875,8.58366986351445
"227","D_S10","Intermittent","Familiar",1.93,8.33853214106334
"228","D_S10","Intermittent","Familiar",1.985,8.0437172856451
"229","D_S10","Intermittent","Familiar",2.04,7.73513407064664
"230","D_S10","Intermittent","Familiar",2.095,7.43522728242549
"231","D_S10","Intermittent","Familiar",2.15,7.15586849006829
"232","D_S10","Intermittent","Familiar",2.205,6.9216967543898
"233","D_S10","Intermittent","Familiar",2.26,6.74908765081246
"234","D_S10","Intermittent","Familiar",2.315,6.63111626859894
"235","D_S10","Intermittent","Familiar",2.37,6.54195021057035
"236","D_S10","Intermittent","Familiar",2.425,6.48604283843499
"237","D_S10","Intermittent","Familiar",2.48,6.45812896372002
"238","D_S10","Intermittent","Familiar",2.535,6.45195522317946
"239","D_S10","Intermittent","Familiar",2.59,6.46034205195693
"240","D_S10","Intermittent","Familiar",2.645,6.47586963485747
"241","D_S10","Intermittent","Familiar",2.7,6.49244268007072
"242","D_S10","Intermittent","Familiar",2.755,6.5344747899789
"243","D_S10","Intermittent","Familiar",2.81,6.60988816635285
"244","D_S10","Intermittent","Familiar",2.865,6.71363531712338
"245","D_S10","Intermittent","Familiar",2.92,6.85285405187578
"246","D_S10","Intermittent","Familiar",2.975,7.02183650222755
"247","D_S10","Intermittent","Familiar",3.03,7.20186301585219
"248","D_S10","Intermittent","Familiar",3.085,7.38427542489936
"249","D_S10","Intermittent","Familiar",3.14,7.57159807320095
"250","D_S10","Intermittent","Familiar",3.195,7.7268393124002
"251","D_S10","Intermittent","Familiar",3.25,7.83824181945324
"252","D_S10","Intermittent","Familiar",3.305,7.90555592577516
"253","D_S10","Intermittent","Familiar",3.36,7.91138759774281
"254","D_S10","Intermittent","Familiar",3.415,7.85736619452398
"255","D_S10","Intermittent","Familiar",3.47,7.74595177344603
"256","D_S10","Intermittent","Familiar",3.525,7.59250693891062
"257","D_S10","Intermittent","Familiar",3.58,7.42056848825535
"258","D_S10","Intermittent","Familiar",3.635,7.26472555443604
"259","D_S10","Intermittent","Familiar",3.69,7.14193397637119
"260","D_S10","Intermittent","Familiar",3.745,7.03691995248584
"261","D_S10","Intermittent","Familiar",3.8,6.95857865204511
"262","D_S10","Intermittent","Familiar",3.855,6.90654214877991
"263","D_S10","Intermittent","Familiar",3.91,6.86644702633924
"264","D_S10","Intermittent","Familiar",3.965,6.83368897186328
"265","D_S10","Intermittent","Familiar",4.02,6.79188253720805
"266","D_S10","Intermittent","Familiar",4.075,6.74733713600923
"267","D_S10","Intermittent","Familiar",4.13,6.708269602852
"268","D_S10","Intermittent","Familiar",4.185,6.67689750536315
"269","D_S10","Intermittent","Familiar",4.24,6.66166858593225
"270","D_S10","Intermittent","Familiar",4.295,6.67418091466498
"271","D_S10","Intermittent","Familiar",4.35,6.71431711352921
"272","D_S10","Intermittent","Familiar",4.405,6.77890581471352
"273","D_S10","Intermittent","Familiar",4.46,6.87019610759453
"274","D_S10","Intermittent","Familiar",4.515,6.98163226372084
"275","D_S10","Intermittent","Familiar",4.57,7.10423557907852
"276","D_S10","Intermittent","Familiar",4.625,7.24278405764306
"277","D_S10","Intermittent","Familiar",4.68,7.37740430004312
"278","D_S10","Intermittent","Familiar",4.735,7.50031038185309
"279","D_S10","Intermittent","Familiar",4.79,7.60170238272385
"280","D_S10","Intermittent","Familiar",4.845,7.66794673984371
"281","D_S10","Intermittent","Familiar",4.9,7.70555997091377
"282","D_S10","Intermittent","Familiar",4.955,7.71638853411183
"283","D_S10","Intermittent","Familiar",5.01,7.69784903145798
"284","D_S10","Intermittent","Familiar",5.065,7.65320143565699
"285","D_S10","Intermittent","Familiar",5.12,7.59382527848439
"286","D_S10","Intermittent","Familiar",5.175,7.50802486531263
"287","D_S10","Intermittent","Familiar",5.23,7.40536750202571
"288","D_S10","Intermittent","Familiar",5.285,7.29048732690949
"289","D_S10","Intermittent","Familiar",5.34,7.16787225804111
"290","D_S10","Intermittent","Familiar",5.395,7.04553936751095
"291","D_S10","Intermittent","Familiar",5.45,6.94351593412444
